Src IP,Timestamp,Mean_Packet_Size,Packet_Size_Variance,Mean_IAT,Port_Diversity,IP_Entropy,Label,Mean_RSSI,RSSI_Variance,JA3_Diversity
Node A,2025-11-11 09:23:23.974254,0,0,0,0,0,0,-58.48,62.76959999999999,0
Node A,2025-11-11 09:28:23.974254,0,0,0,0,0,0,-58.38,72.9156,0
Node A,2025-11-11 09:33:23.974254,0,0,0,0,0,0,-58.18,55.907599999999995,0
Node A,2025-11-11 09:38:23.974254,0,0,0,0,0,0,-58.44,58.686400000000006,0
Node A,2025-11-11 09:43:23.974254,0,0,0,0,0,0,-56.3,55.81000000000001,0
Node A,2025-11-11 09:48:23.974254,0,0,0,0,0,0,-54.8,45.08,0
Node A,2025-11-11 09:53:23.974254,0,0,0,0,0,0,-62.16,60.6144,0
Node A,2025-11-11 09:58:23.974254,0,0,0,0,0,0,-63.3,48.69,0
Node A,2025-11-11 10:03:23.974254,0,0,0,0,0,0,-69.44,56.6464,0
Node A,2025-11-11 10:08:23.974254,0,0,0,0,0,0,-72.06,52.1364,0
Node A,2025-11-11 10:13:23.974254,0,0,0,0,0,0,-69.22,44.0516,0
Node A,2025-11-11 10:18:23.974254,0,0,0,0,0,0,-70.12,51.58559999999999,0
Node A,2025-11-11 10:23:23.974254,0,0,0,0,0,0,-75.0,91.24,0
Node A,2025-11-11 10:28:23.974254,0,0,0,0,0,0,-76.0,172.08,0
Node A,2025-11-11 10:33:23.974254,0,0,0,0,0,0,-77.54,44.9684,0
Node A,2025-11-11 10:38:23.974254,0,0,0,0,0,0,-78.22,47.57160000000001,0
Node A,2025-11-11 10:43:23.974254,0,0,0,0,0,0,-71.38,50.875600000000006,0
Node A,2025-11-11 10:48:23.974254,0,0,0,0,0,0,-70.32,46.0176,0
Node A,2025-11-11 10:53:23.974254,0,0,0,0,0,0,-36.22,432.05159999999995,0
Node A,2025-11-11 10:58:23.974254,0,0,0,0,0,0,-24.14,0.12040000000000001,0
Node A,2025-11-11 11:03:23.974254,0,0,0,0,0,0,-24.68,0.49760000000000004,0
Node A,2025-11-11 11:08:23.974254,0,0,0,0,0,0,-25.22,0.17160000000000003,0
Node A,2025-11-11 11:13:23.974254,0,0,0,0,0,0,-24.74,0.23239999999999994,0
Node A,2025-11-11 11:18:23.974254,0,0,0,0,0,0,-24.16,0.13440000000000002,0
Node A,2025-11-11 11:23:23.974254,0,0,0,0,0,0,-25.2,1.08,0
Node A,2025-11-11 11:28:23.974254,0,0,0,0,0,0,-26.68,0.2176,0
Node A,2025-11-11 11:33:23.974254,0,0,0,0,0,0,-27.64,2.830400000000001,0
Node A,2025-11-11 11:38:23.974254,0,0,0,0,0,0,-30.5,0.29,0
Node A,2025-11-11 11:43:23.974254,0,0,0,0,0,0,-30.44,0.6064,0
Node A,2025-11-11 11:48:23.974254,0,0,0,0,0,0,-32.14,0.1604,0
Node A,2025-11-11 11:53:23.974254,0,0,0,0,0,0,-32.22,1.1716000000000002,0
Node A,2025-11-11 11:58:23.974254,0,0,0,0,0,0,-36.88,0.18560000000000001,0
Node A,2025-11-11 12:03:23.974254,0,0,0,0,0,0,-37.2,0.2,0
Node A,2025-11-11 12:08:23.974254,0,0,0,0,0,0,-36.26,0.43239999999999995,0
Node A,2025-11-11 12:13:23.974254,0,0,0,0,0,0,-36.68,0.2176,0
Node A,2025-11-11 12:18:23.974254,0,0,0,0,0,0,-33.6,3.24,0
Node A,2025-11-11 12:23:23.974254,0,0,0,0,0,0,-32.48,0.44959999999999994,0
Node A,2025-11-11 12:28:23.974254,0,0,0,0,0,0,-40.84,45.25439999999999,0
Node A,2025-11-11 12:33:23.974254,0,0,0,0,0,0,-45.08,2.1935999999999996,0
Node A,2025-11-11 12:38:23.974254,0,0,0,0,0,0,-43.04,4.7984,0
Node A,2025-11-11 12:43:23.974254,0,0,0,0,0,0,-41.64,1.4303999999999997,0
Node A,2025-11-11 12:48:23.974254,0,0,0,0,0,0,-46.98,39.2596,0
Node A,2025-11-11 12:53:23.974254,0,0,0,0,0,0,-53.4,2.64,0
Node A,2025-11-11 12:58:23.974254,0,0,0,0,0,0,-52.76,5.5824,0
Node A,2025-11-11 13:03:23.974254,0,0,0,0,0,0,-50.26,1.7123999999999997,0
Node A,2025-11-11 13:08:23.974254,0,0,0,0,0,0,-50.92,1.4335999999999998,0
Node A,2025-11-11 13:13:23.974254,0,0,0,0,0,0,-49.46,2.8484,0
Node A,2025-11-11 13:18:23.974254,0,0,0,0,0,0,-49.16,2.4143999999999997,0
Node A,2025-11-11 13:23:23.974254,0,0,0,0,0,0,-55.68,1.3376000000000001,0
Node A,2025-11-11 13:28:23.974254,0,0,0,0,0,0,-55.1,1.8500000000000003,0
Node A,2025-11-11 13:33:23.974254,0,0,0,0,0,0,-48.9,5.77,0
Node A,2025-11-11 13:38:23.974254,0,0,0,0,0,0,-47.6,1.68,0
